Chronamids.geai.1,Copepods.geai.1,Cladoceran.geai.1,Cyclopoid.geai.2,Calanoids.geai.2,Holopedium.geai.2,Chronamids.geai.2,Daphnia.geai.2,Basmina.geai.2
155560,2224,295,248,365,1470,15069,1423,231
15648,2196,610,664,2172,1567,12542,1534,266
17683,2356,2000,671,576,1391,10670,614,496
11927,2050,1619,421,1836,955,12981,1497,379
10585,2341,1001,502,2213,219,2273,1428,286
14204,2189,1340,365,1965,,2024,,253
9958,2299,1090,615,501,,2325,,100
2994,2398,1421,578,2210,,2046,,
11509,2320,900,605,2483,,2259,,
11381,2429,453,404,2485,,13573,,
7860,2260,856,447,2168,,12541,,
,2323,1081,580,2302,,11368,,
,1938,839,149,700,,10141,,
,2298,367,481,2709,,7564,,
,2582,804,384,2265,,10383,,
,2139,311,720,2722,,9980,,
,2062,423,526,2312,,10743,,
,2771,256,579,2127,,12026,,
,2477,362,410,2648,,9579,,
,2307,778,299,2387,,11992,,
,2199,1246,261,1560,,14817,,
,2254,966,301,1678,,14074,,
,2248,718,327,1595,,15755,,
,321,1247,443,779,,10947,,
,329,215,336,2742,,10631,,
,555,702,443,2050,,13142,,
,171,937,379,2483,,12034,,
,411,1201,377,2570,,10395,,
,2447,962,578,1601,,10888,,
,2001,632,419,2565,,6044,,
,1894,932,475,2468,,7122,,
,2264,768,476,2157,,2577,,
,2003,963,478,1898,,1404,,
,2345,767,556,2271,,,,
,2052,886,419,2465,,,,
,1994,806,608,2227,,,,
,2390,1318,389,548,,,,
,2255,559,398,615,,,,
,2208,677,433,2084,,,,
,2187,,423,1852,,,,
,2189,,181,1470,,,,
,2148,,422,1993,,,,
,2253,,217,2081,,,,
,2013,,160,1578,,,,
,1983,,154,494,,,,
,2179,,419,2038,,,,
,2094,,162,382,,,,
,2299,,213,345,,,,
,2231,,452,2103,,,,
,1991,,192,2034,,,,
,2077,,330,1834,,,,
,2352,,337,1542,,,,
,2273,,492,2041,,,,
,2166,,455,1771,,,,
,2158,,593,2122,,,,
,732,,136,1881,,,,
,425,,213,1742,,,,
,239,,,1715,,,,
,429,,,1233,,,,
,505,,,2108,,,,
,410,,,850,,,,
,326,,,,,,,
,421,,,,,,,
,360,,,,,,,
,391,,,,,,,
,339,,,,,,,
,406,,,,,,,
,379,,,,,,,
,564,,,,,,,
,549,,,,,,,
,600,,,,,,,
,2150,,,,,,,
,2350,,,,,,,
,2167,,,,,,,
,1875,,,,,,,
,2141,,,,,,,
,2326,,,,,,,
,2035,,,,,,,
,379,,,,,,,
,2368,,,,,,,
,1696,,,,,,,
,453,,,,,,,
,1594,,,,,,,
,1698,,,,,,,
,1484,,,,,,,
,2350,,,,,,,
,165,,,,,,,
,188,,,,,,,
,242,,,,,,,
,2348,,,,,,,
,357,,,,,,,
,369,,,,,,,
,1932,,,,,,,
,2365,,,,,,,
,2201,,,,,,,
,89,,,,,,,
,178,,,,,,,
,288.69,,,,,,,
,545,,,,,,,
,320,,,,,,,
,408,,,,,,,
,385,,,,,,,
,476,,,,,,,
,402,,,,,,,
,262,,,,,,,
,2037,,,,,,,
,1826,,,,,,,
,410,,,,,,,
,2311,,,,,,,
,2322,,,,,,,
,279,,,,,,,
,482,,,,,,,
,232,,,,,,,
,2204,,,,,,,
,2389,,,,,,,
,2118,,,,,,,
,243,,,,,,,
,378,,,,,,,
,429,,,,,,,
,107,,,,,,,
,502,,,,,,,
,2077,,,,,,,
,346,,,,,,,
,850,,,,,,,
,2262,,,,,,,
,437,,,,,,,
,521,,,,,,,
,308,,,,,,,
,403,,,,,,,
,305,,,,,,,
,282,,,,,,,
,2303,,,,,,,
,647,,,,,,,
,434,,,,,,,
,445,,,,,,,
,460,,,,,,,
,262,,,,,,,
,329,,,,,,,
,314,,,,,,,
,468,,,,,,,
,738,,,,,,,
,303,,,,,,,
,819,,,,,,,
,218,,,,,,,
,387,,,,,,,
,412,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
